LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
1005,chleb razowy pe³noziarnisty,223,6.4,1.3,54.2
1006,chleb razowy z pestkami s³onecznika,214,5.1,1.7,51
1007,chleb sitek,213,5.1,1.4,54.1
1008,chleb staropolski,220,4.8,1.5,50.3
1009,chleb tostowy,303,8.4,4.3,58.9
1010,chleb tostowy graham,277,7.7,4.1,54.3
1011,chleb wiejski,244,6,1.2,55.4
1012,chleb wielkopolski,250,6.3,1.4,57.8
1013,chleb zakopiañski,266,6.9,2.3,58.2
1014,chleb zwyk³y,249,5.5,1.3,57.1
1015,chleb ¿ytni fitness z ziarnami Schulstad,198,5,3.2,36.9
1016,chleb ¿ytni jasny,244,4.1,1.6,56.2
1017,chleb ¿ytni jasny mleczny,251,4.7,1.7,56.8
1018,chleb ¿ytni pe³noziarnisty,236,6.6,1.7,54.2
1019,chleb ¿ytni pe³noziarnisty ze œliwk¹,173,4.1,1.3,35.8
1020,chleb ¿ytni pytlowy,243,4.6,1.7,57.6
1021,chleb ¿ytni razowy,224,6,1.6,52.5
1022,chleb ¿ytni razowy litewski,235,6.4,1.9,53
1023,chleb ¿ytni razowy na miodzie,236,5.8,1.9,55.9
1024,chleb ¿ytni razowy wytrawny,229,6.9,1.6,53.4
1025,chleb ¿ytni razowy z soj¹ i s³onecznikiem,239,8.3,3.9,49.3
1026,chleb ¿ytni sitkowy,240,5.3,1.5,50.1
1027,chleb ¿ytni starogradzki,228,4.8,1.4,48.9
1028,chleb ¿ytni wileñski,229,4.1,1.4,53
1029,chlebek chapatti,334,7.5,13.4,49.2
1030,chlebek puri (indyjski),333,6.6,16.5,44.8
1031,croissant,362,8.8,21,39.1
1032,gluten,381,41.1,2.1,47.6
1033,kasza gryczana,338,13,3,61.3
1034,kasza gryczana gotowana,65,2.4,0.6,13.3
1035,kasza jaglana,348,11.2,3.2,70.8
1036,kasza jaglana gotowana,177,5.5,1.7,34.9
1037,kasza jêczmienna per³owa,332,7,2.4,76.1
1038,kasza jêczmienna per³owa gotowana,92,1.3,0.5,21.1
1039,kasza jêczmienna pêczak,331,8.3,1.9,75.3
1040,kasza jêczmienna pêczak gotowana,100,1.7,0.7,22.4
1041,kasza kukurydziana,366,7.7,2.7,78.2
1042,kasza kuskus,367,13,0.7,76.8
1043,kasza kuskus gotowana,114,3.9,0.3,24.1
1044,kasza manna,345,8.9,1.2,75.7
1045,kasza manna gotowana,80,2,0.3,20.1
1046,kasza manna orkiszowa,400,13,1.9,77.9
1047,maca,291,11.1,2,67.3
1048,makaron bezjajeczny,370,11.1,1.7,79.6
1049,makaron bezjajeczny gotowany,133,3.7,0.9,28.2
1050,makaron bezjajeczny z semoliny,380,11.2,1.6,77.5
1051,makaron bezjajeczny z semoliny gotowany,133,3.7,0.6,28.1
1052,makaron czterojajeczny,372,11.8,3.3,75.6
1053,makaron czterojajeczny gotowany,140,4,1.5,27.2
1054,makaron gotowany z dodatkiem oleju,290,4.7,26.1,13.1
1055,makaron dwujajeczny,370,11.3,3.5,77.2
1056,makaron dwujajeczny gotowany,135,4.2,0.8,26.8
1057,makaron dwujajeczny z semoliny,385,11.6,2.5,77.4
1058,makaron dwujajeczny z semoliny gotowany,130,3.7,0.7,28.3
1059,makaron razowy,350,15,1.6,76.2
1060,makaron razowy gotowany,126,5.5,0.6,27.1
1061,makaron razowy spaghetti,360,14.9,1.7,76.7
1062,makaron razowy tagliatelle,355,14.2,1.2,74.8
1063,makaron ry¿owy,287,4.2,1,90
1064,makaron ry¿owy gotowany,190,22.3,0.5,46
1065,makaron sojowy,274,0.7,3.9,84.4
1066,makaron sojowy gotowany,130,0.3,3.1,25.2
1067,makaro spaghetti,339,12.2,1.9,75.1
1068,makaron spaghetti gotowany,106,3.3,0.9,23
1069,makaron z m¹ki kukurydzianej gotowany,125,2.7,0.8,28.2
1070,m¹ka atta,140,3.7,0,30.9
1071,m¹ka gryczana,343,12.1,1.5,76
1072,m¹ka jêczmienna,355,7.2,1.9,75
1073,m¹ka kukurydziana,348,9.6,1.3,80
1074,m¹ka pszenna chlebowa typu 750,360,9.2,2,74
1075,m¹ka pszenna chlebowa typu 750 gotowana,111,2.9,0.7,23.1
1076,m¹ka pszenna graham typu 1850,360,12,2.6,71
1077,m¹ka pszenna krupczatka typu 500,360,9.4,1.3,75.3
1078,m¹ka pszenna krupczatka tupu 500 wzbogacona,354,9.1,1.3,74.8
1079,m¹ka pszenna luksusowa typu 550,361,9.5,1.8,75
1080,m¹ka pszenna poznañska typu 500,350,9.3,1.3,75.2
1081,m¹ka pszenna razowa typu 2000,360,11.3,2.3,70.6
1082,m¹ka pszenna semolina,342,10.7,1.5,75
1083,m¹ka pszenna semolina typu 1750,360,10,1.4,75
1084,m¹ka pszenna sitkowa,333,8.9,1.5,60
1085,m¹ka pszenna tortowa typu 450,360,9.4,1.1,75
1086,m¹ka pszenna typu 500,341,9.3,1.4,75.1
1087,m¹ka pszenna typu 500 wzbogacona,344,9.3,1.3,74.8
1088,m¹ka pszenna typu 550,341,10,1.4,74.5
1089,m¹ka ry¿owa,370,6.1,1.5,80.2
1090,m¹ka sojowa odt³uszczona,331,47.2,1.3,38.8
1091,m¹ka sojowa pe³not³usta,475,46.4,14,19.9
1092,m¹ka sojowa pe³not³usta pieczona lub pra¿ona,440,41,25,20.9
1093,m¹ka ziemniaczana,350,0.7,0.1,84
1094,m¹ka ¿ytnia razowa typu 2000,341,8,2.3,75.1
1095,m¹ka zytnia sitkowa typu 1400,340,6.8,2.3,76
1096,m¹ka ¿ytnia starogardzka typu 1850,338,7.5,2,75
1097,m¹ka ¿ytnia typu 580,340,5.6,1.4,79
1098,m¹ka ¿ytnia typu 720,340,6,1.6,77.7
1099,m¹ka ¿ytnia wyborowa,340,7.5,1.2,77
1100,otrêby owsiane,248,17.4,6.9,66.1
1101,otrêby pszenne,183,16,4.4,65.5
1102,otrêby ry¿owe,313,14.1,21.1,50
1103,otrêby ¿ytnie,240,13.1,5.3,60
1104,paluszki s³one,288,10.2,5.3,75.6
1105,paluszki solinki,378,9.5,5.3,74.9
1106,paluszki z kminkiem,502,17,30.1,39
1107,pieczywo pó³francuskie z d¿emem,410,7.5,9.8,72.4
1108,pieczywo pó³francuskie z serem,400,10.1,6.2,66.8
1109,p³atki jêczmienne,360,10.2,4,80
1110,p³atki jêczmienne b³yskawiczne,360,10.2,4,80
1111,p³¹tki kukurydziane,365,7,3,82.9
1112,p³atki kukurydziane wzbogacone,365,7,2.8,84.1
1113,p³atki musli chrupkie Fitella bananowe Gellwe,399,8.8,10.3,67.8
1114,p³atki musli czekoladowe,360,11.5,5.5,66
1115,p³atki musli czekoladowo-orzechowe Naturalia,368,9.4,6.4,69.2
1116,p³atki musli górskie Naturalia,375,11,7.9,66.5
1117,p³atki lekkie Fitella truskawkowe Gellwe,350,14.2,3.5,66
1118,p³atki musli studenckie Naturalia,360,8.7,3.5,72.1
1119,p³atki musli z orzechami,400,12.4,16,60.5
1120,p³atki musli z owocami,315,8.8,3.5,60.9
1121,p³atki musli z owocami suszonymi,330,8.5,3.6,73
1122,p³atki musli z owocami suszonymi Tropic,370,9.6,6.9,67
1123,p³atki musli z rodzynkami i orzechami,370,11.3,12.5,63.1
1124,p³atki owsiane,370,12,7.5,69
1125,p³atki owsiane gotowane,68,1.3,1.1,11.2
1126,p³atki pszenne naturalne,355,9.1,3.1,81.5
1127,p³atki pszenne naturalne gotowane,48,1.4,0.5,11.2
1128,p³atki ry¿owe,361,6.6,1.1,85.1
1129,p³atki œniadaniowe Chocapic,382,8.4,4.8,76.2
1130,p³atki œniadaniowe Cookie Crips,377,6.4,3.4,80.1
1131,p³¹tki œniadaniowe Nesquik,379,7.3,3.8,79.1
1132,p³atki ¿ytnie naturalne,345,6.6,3.3,83.1
1133,ry¿ arborio,375,8.1,1.8,77.5
1134,ry¿ basmati bia³y,350,7.2,1.5,75.1
1135,ry¿ bia³y,328,7.1,0.9,77.8
1136,ry¿ bia³y gotowany,115,2.6,0.4,26.6
1137,ry¿ br¹zowy,335,7.7,2.1,77
1138,ry¿ br¹zowy gotowany,109,2.2,0.7,23.5
1139,ry¿ br¹zowy kleisty (puddingowy),360,8.2,1.8,75
1140,ry¿ calrose,358,6.3,0,76.9
1141,ry¿ dziki,360,14.2,0.8,73.5
1142,ry¿ dziki gotowany,98,4.2,0.4,20.8
1143,ry¿ preparowany,285,6.6,1.8,85.2
1144,sago,370,0,0,96
1145,tortilla wraps,321,7.9,8.8,52.3
1146,zarodki pszenne,260,28,9.5,45
1147,ziarno gryki,337,10.6,2.7,73
1148,ziarno jêczmienia,324,10.2,2.4,69
1149,ziarno kukurydzy,362,10.5,7.6,63
1150,ziarno owsa,388,17.1,6.7,66.8
1151,ziarno prosa,366,5.1,2.3,75.1
1152,ziarno pszenicy,331,11.5,3.2,70
1153,ziarno pszen¿yta,313,12.7,2.6,63.1
1154,ziarno quinoa komosa ry¿owa,386,12.5,5.7,69.8
1155,ziarno ¿yta,350,8.3,2.1,73.8
1156,aromat wanilinowy do ciasta bez alkoholu,57,0,0,14.6
1157,aromat wanilinowy do ciasta z alkoholem,244,0.1,0,2.6
1158,bazylia suszona,255,14.6,4.2,61.1
1159,bazylia œwie¿a,25,2.6,0.5,4.4
1160,chili w proszku,312,11.4,16.9,55.6
1161,curry w proszku,330,13.1,14.2,61.2
1162,cynamon w proszku,266,4.2,3.3,83
1163,fix do potraw chiñskich Knorr,277,9.9,5.2,47.8
1164,ga³ka muszkata³owa,536,6.1,37.1,50.2
1165,gorczyca ¿ó³ta,473,25.3,29.2,33.9
1166,goŸdziki,330,6.1,20,60.3
1167,imbir kandyzowany,297,0.6,0.2,74.2
1168,imbir korzeñ,73,1.6,0.5,15.9
1169,imbir korzeñ gotowany,71,1.9,0.6,16.2
1170,imbir proszek,361,9.9,6.7,72.1
1171,kapary,113,7.2,3.3,20.1
1172,kapary w puszce,24,2.7,0.8,4.6
1173,kapary w zalewie octowej,23,0.5,0.8,3.6
1174,keczup,99,2,1.1,23.1
1175,keczup ³agodny,102,1.7,0.2,22
1176,kminek nasiona,380,18.1,22.5,45.1
1177,kminek proszek,337,20.2,15.7,48.7
1178,kolendra,302,12.5,17.7,56.1
1179,leczo mro¿one,20,1,0.4,5.2
1180,liœcie laurowe,315,7.8,8.5,74.5
1181,liœcie mniszka lekarskiego,43,2.2,0.8,9.6
1182,maggi przyprawa do zup,15,2.8,0,1.7
1183,majeranek suszony,273,13.7,7.1,61.3
1184,majonez,717,1.2,80.1,2.8
1185,majonez dekoracyjny Winiary,739,1.3,80,3.5
1186,majonez light,334,1.3,33.8,5.9
1187,majonez oliwkowy Hellman's,717,1.2,76.8,4.1
1188,miêta suszona,288,19.4,6.2,52.4
1189,miêta œwie¿a,45,3.4,0.8,8.5
1190,musztarda,166,6,6.7,22.9
1191,ocet winny,16,0,0,6.1
1192,oregano mielone,305,10.8,10,65.5
1193,papryka ostra proszek,312,13,17.1,54.6
1194,papryka s³odka proszek,291,15,13.1,56
1195,pieprz bia³y,300,10.8,12.4,69.5
1196,pieprz cayenne,320,12.1,17.5,57.3
1197,pieprz czarny,295,11.1,3.5,65.4
1198,pieprz czerwony,320,12.1,17.5,57.1
1199,przyprawka jarzynka,92,2,0.5,23.4
1200,sos agrestowy,54,0.8,2.6,7
1201,sos barbecue,161,0,0,36
1202,sos beszamelowy klasyczny,142,3.4,10,10.6
1203,sos beszamelowy zagêszczany ¿ó³tkiem i œmietan¹,157,3.5,13,7.6
1204,sos borówkowy,80,0.4,0.3,20.6
1205,sos borówkowy z jab³kiem i chrzanem,91,0.4,0.2,25
1206,sos cebulowy zagêszczany zawiesin¹ z m¹ki mleka i œmietany,68,1.5,4.8,6
1207,sos cebulowy zagêszczany zawiesin¹ z m¹ki i œmietany,84,1.4,6,6.4
1208,sos chrzanowy,96,1.5,7.7,7
1209,sos chrzanowy z jab³kami i œmietan¹ kremówk¹,130,1.9,9.9,8.7
1210,sos chrzanowy z majonezem i œmietan¹ kremówk¹,165,4.5,14.5,5.6
1211,sos cumberland,50,1.4,0.4,11.8
1212,sos cytrynowy,40,0.9,2.2,5.3
1213,sos czekoladowy z gorzkiej czekolady ¿ó³tek i chudego mleka z orzechami,260,4.4,10.8,36
1214,sos czekoladowy z kakao ¿ó³tek mas³a i t³ustego mleka,327,4.3,23.2,23.7
1215,sos czosnkowy,102,2.2,8.6,5.5
1216,sos fasolowy,49,1.9,2,6.4
1217,sos grzybowy z gêst¹ œmietan¹,103,2.1,7.7,7.4
1218,sos grzybowy z suszonych grzybów,56,1,3.7,5.9
1219,sos grzybowy ze œwie¿ych grzybów,65,1.6,5.2,3.7
1220,sos holenderski,409,5.7,41.5,1.6
1221,sos jab³kowy,52,0.7,2.2,8.1
1222,sos jarzynowy,50,1.3,1.8,8.3
1223,sos jogurtowy z zielenin¹,55,3.7,1.7,6.4
1224,sos kaparowy,43,1.1,2.5,4.8
1225,sos karmelowy,449,0.9,24.5,58.2
1226,sos kminkowy,130,3.5,11,4.5
1227,sos koperkowy,95,1.4,8,4.6
1228,sos majonezowy z jab³kami i chrzanem,290,1.6,28.6,9.4
1229,sos majonezowy z ¿urawinami,419,1.4,39.9,17.9
1230,sos morelowy,125,0.8,6.1,5.9
1231,sos musztardowy,51,1.3,2.9,4.6
1232,sos myœliwski,125,1.8,10.7,3.1
1233,sos ogórkowy,75,1.1,6.4,4.2
1234,sos pieczarkowy,65,1.9,5.2,3.8
1235,sos pieprzowy,80,1.1,3.3,5.1
1236,sos pomidorowy z zasma¿k¹ i œmietan¹,75,2,4,9.3
1237,sos pomidorowy zagêszczony zawiesin¹ z m¹ki i mleka,35,1,1.5,4.4
1238,sos powid³owy,186,1.9,6.6,30.4
1239,sos powid³owy z chrzanem,166,1.9,6.8,24.3
1240,sos sa³atkowy do mizerii,92,5.1,3.5,9.8
1241,sos sa³atkowy francuski na oliwie z oliwek,420,0.5,43.3,6
1242,sos sa³atkowy koperkowo-zio³owy na oliwie z oliwek,411,0.4,43.3,5.4
1243,sos sa³atkowy w³oski na oliwie z oliwek,412,0.5,42.8,6.3
1244,sos sardelowy,55,2.4,3.6,3
1245,sos szczawiowy,99,1.4,8.7,4.1
1246,sos szczypiorkowo-chrzanowy,161,6,13.5,4
1247,sos szczypiorkowo-chrzanowy,195,4.9,17.3,5
1248,sos szodonowy,212,2.9,5.2,24
1249,sos szodonowy z pomarañcz¹,176,2.6,3.9,21.4
1250,sos œliwkowy,109,0.8,0.4,24
1251,sos œmietanowo-musztardowy,211,5.3,17.6,7.4
1252,sos œmietanowy ze szczypiorkiem,155,5.5,13.8,3.4
1253,sos tatarski,310,1.8,32.3,6
1254,sos waniliowy,149,4.6,3.6,25
1255,sos winegret,570,0.9,62.5,3.4
1256,sos winogronowy z majonezem,338,1.5,34,8.1
1257,sos wiœniowo-chrzanowy,99,0.9,0.2,24.9
1258,sos z maku,256,9,17,19
1259,sos z surowych owoców,80,1,0.4,14.5
1260,sos z suszonych œliwek,87,1.1,4,8.9
1261,sos ziemniaczany,54,1.1,1.5,9.2
1262,sos musztardowy,214,0,13,25
1263,sól bia³a,0,0,0,0
1264,szafran,313,11.5,6,66.2
1265,sza³wia mielona,310,11.2,13.5,59.8
1266,tymianek suszony,273,9.2,7.1,63.6
1267,tymianek œwie¿y,99,5.5,1.8,25.1
1268,wanilia ekstrakt,295,0.1,0.1,13.2
1269,amur,65,9.7,1.3,0
1270,anchois w oleju,216,28.8,9.9,0
1271,b³êkitek filet bez skóry,81,17.2,1.1,0
1272,dorsz duszony,97,45.9,1.3,0
1273,dorsz filet bez skóry pieczony,95,21,0.6,0
1274,dorsz filet bez skóry sma¿ony,140,20.2,5.6,0
1275,dorsz filet bez skóry œwie¿y,66,17.2,0.4,0
1276,dorsz gotowany,82,33.1,1.6,0
1277,dorsz pieczony,103,23.3,1.1,0.2
1278,dorsz sma¿ony panierowany,172,22.2,8.1,4
1279,dorsz œwie¿y,77,17.9,0.6,0
1280,dorsz suszony,144,33.1,1.2,0
1281,dorsz wêdzony,95,22.3,0.6,0
1282,fl¹dra pieczona,112,21.5,2.5,0
1283,fl¹dra sma¿ona,149,20,7.6,0
1284,fl¹dra œwie¿a,85,16.6,2,0
1285,fl¹dra w oleju z papryk¹,277,14.3,22.2,0.6
1286,fl¹dra w pomidorach,103,20.4,8.6,0.3
1287,fl¹dra wêdzona,166,14.4,11.3,0
1288,g³adzica pieczona,118,23.1,2.5,0
1289,g³adzica sma¿ona,153,20.2,7.2,0
1290,g³adzica œwie¿a,83,18.2,2.2,0
1291,g³adzica wêdzona,77,14.7,0.9,0
1292,grenadier,99,18.3,2.3,0
1293,halibut duszony,171,23.1,2.4,0
1294,halibut gotowany,93,17,2.4,0
1295,halibut pieczony,133,26,2.5,0
1296,halibut sma¿ony,172,24.3,7.6,0
1297,halibut œwie¿y,99,20.2,1.8,0
1298,halibut wêdzony,177,18.1,11,0
1299,homar gotowany,76,22.9,2,0
1300,homar œwie¿y,87,19.2,1.1,0.4
1301,homar w skorupie,33,22.2,1.3,0
1302,ikra z dorsza,110,33.2,2.7,0
1303,jesiotr sma¿ony,177,20.3,11.2,0
1304,jesiotr œwie¿y,102,16.3,4.3,0
1305,jesiotr wêdzony,177,32.3,4.5,0
1306,kalmary,85,16.7,1.2,2.3
1307,kalmary suszone,334,65.1,4.1,4.2
1308,karmazyn sma¿ony,133,20.2,5.1,0
1309,karmazyn œwie¿y,111,17.7,5.1,0
1310,karp duszony,144,8.8,5.4,0
1311,karp gotowany,144,23.1,5.4,0
1312,karp pieczony,148,23.3,5.9,0
1313,karp sma¿ony,178,22.5,11,0
1314,karp œwie¿y,111,17.3,4,0
1315,kawior,267,25.3,18.1,3.8
1316,kergulena sma¿ona,60,9.3,0.8,0
1317,kegrulena œwie¿a,42,8.3,0.7,0
1318,kraby gotowane,112,21,1.4,1.2
1319,kraby surowe,85,17.6,1.3,0.5
1320,kraby w puszce,104,17.9,2.8,1.5
1321,kraby w skorpupie,44,20.2,0.7,0.2
1322,krewetki gotowane,100,21.4,1.4,0
1323,krewetki prawns gotoane,99,23.6,1.2,0
1324,krewetki shrimps,120,24.5,2.6,0
1325,krewetki sma¿one panierowane,250,22.6,13.1,11.9
1326,krewetki œwie¿e,110,2.5,1.5,1
1327,krewetki w puszce,121,25.3,1.3,0.8
1328,langusta,120,21.5,3.3,0
1329,leszcz duszony,55,9.2,2,0
1330,leszcz sma¿ony,64,11.3,1.7,0
1331,leszcz œwie¿y,55,10.1,1.3,0
1332,lin sma¿ony,53,11.7,2.5,0
1333,lin œwie¿y,45,11.2,2.3,0
1334,³osoœ gotowany,263,25.1,17.3,0
1335,³osoœ pieczony,254,24.6,17.5,0
1336,³osoœ sma¿ony,301,24.2,22.3,0
1337,³osoœ œwie¿y,206,21.1,14.5,0
1338,³osoœ w puszce,204,22,12.1,0
1339,³osoœ wêdzony,158,22.6,9.1,0
1340,makrela filety z czerwon¹ fasol¹,122,12.6,7.5,14.7
1341,makrela filety z warzywami,119,11.7,6.5,4
1342,makrela pieczona,166,33.4,2.6,0
1343,makrela sma¿ona,201,30.7,7.3,0
1344,makrela œwie¿a,182,19.7,11.3,0
1345,makrela w oleju,350,9.7,31.2,0
1346,makrela w sosie w³asnym,177,10.3,11.7,0
1347,makrela wêdzona,223,21.2,15.6,0
1348,ma³¿e panierowane sma¿one,217,18.3,11.2,10
1349,ma³¿e swie¿y,95,12.9,0.4,11.2
1350,ma³¿e w muszelkach,15,3.3,0.1,0
1351,m ¹twa,71,15.4,0.9,0
1352,m ¹twa sma¿ona,176,18,7.6,7.9
1353,miêso wielorybie,127,21,4.2,1.1
1354,miêtus sma¿ony,116,25,1.2,0
1355,miêtus œwie¿y,95,20.2,0.9,0
1356,mintaj pieczony,106,23.8,0.7,0
1357,mintaj sma¿ony,146,21.6,6.2,0
1358,mintaj œwie¿y,74,16.8,0.7,0
1359,morszczuk pieczony,122,23.1,2.5,0
1360,morszczuk sma¿ony,160,21.3,7.7,0
1361,morszczuk œwie¿y,90,18.1,2.4,0
1362,mule,88,17.6,2.1,0
1363,okoñ pieczony,111,24,0.9,0
1364,okoñ sma¿ony,155,23,6.3,0
1365,okoñ œwie¿y,87,19.2,0.9,0
1366,ostrobok sma¿ony,85,16.6,2.5,0
1367,ostrobok œwie¿y,79,14.6,2.2,0
1368,ostrygi gotowane,165,19.1,4.7,10
1369,ostrygi œwie¿e,82,9.5,2.4,5.1
1370,oœmiornica gotowana,161,30.2,2.2,4.5
1371,oœmiornica œwie¿a,83,15.3,0.8,2.1
1372,paluszki rybne mro¿one,180,12.1,5.8,19.9
1373,paluszki rybne pieczone,215,15.3,9.2,19.8
1374,paluszki rybne sma¿one,234,13.3,12,17.5
1375,paluszki rybne œwie¿e,200,12,9,15.1
1376,panga pieczona,112,18,3.8,0
1377,panga sma¿ona,152,16.5,9.3,0
1378,panga œwie¿a,93,13.1,3.8,0
1379,paprykarz szczeciñski,180,10,12.1,8.7
1380,pasta rybna,100,7.8,5.7,4
1381,pasta z tuñczyka z majonezem,382,8.1,38.2,1.8
1382,pasztet rybny,266,10.5,21,8.7
1383,pasztet z ryb wêdzonych,150,13.1,10.3,1.1
1384,pikling œledŸ solony i wêdzony,221,22.1,15,0
1385,p³aszczka,100,22,1.5,0
1386,p³oæ sma¿ona,35,8.4,0.6,0
1387,p³oæ œwie¿a,36,7.4,0.6,0
1388,przegrzebki,109,24.2,0.8,0
1389,przegrzebki gotowane,101,22.5,1.2,0
1390,pstr¹g strumieniowy pieczony,130,25.1,2.4,0
1391,pstr¹g strumieniowy sma¿ony,170,24.5,7.4,0
1392,pstr¹g strumieniowy œwie¿y,99,19.8,2.3,0
1393,pstr¹g têczowy pieczony,215,19.2,14.8,0
1394,pstr¹g têczowy sma¿ony,252,19,19.3,0
1395,pstr¹g têczowy œwie¿y,165,19,9.3,0
1396,rak gotowany,83,17.1,1.4,0
1397,rak szyjki gotowane,79,37.8,1.1,0
1398,rak œwie¿y,78,16.2,1,0
1399,rak w skorupce,42,22.3,0.7,0
1400,rekin miêso,101,22,0.8,0
1401,rekin p³etwa suszona,359,85.5,0,0
1402,ryba maœlana pieczona,190,23,9.9,0
1403,ryba maœlana sma¿ona,218,20.5,14.3,0
1404,ryba maœlana œwie¿a,150,17.8,8.2,0
1405,sandacz pieczony,115,25,1,0
1406,sandacz sma¿ony,139,22.8,5.7,0
1407,sandacz œwie¿y,85,20.1,0.6,0
1408,sardynka œwie¿a,172,21,9.7,0
1409,sardynka w oleju,223,24.5,14.1,0
1410,sardynka w pomidorach,165,17.2,10.1,1.3
1411,sardynka w puszce bez oleju,220,24.5,11.4,1.3
1412,sercówki gotowane,55,12.2,0.7,0
1413,sieja sma¿ona,72,12.4,2.2,0
1414,sieja œwie¿a,61,11.2,2,0
1415,sola pieczona,115,22.6,1.7,0
1416,sola sma¿ona,155,21.3,7,0
1417,sola œwie¿a,88,17.7,1.5,0
1418,strzêpiel,87,19.1,1.2,0
1419,sum pieczony,100,19,3.2,0
1420,sum sma¿ony,112,22.4,6.5,0
1421,sum œwie¿y,104,17.2,2.9,0
1422,szczupak gotowany,18,1.2,0.6,4.3
1423,szczupak pieczony,100,20.9,1.5,0
1424,szczupak sma¿ony,153,22.5,6.3,0
1425,szczupak œwie¿y,79,18.6,0.9,0
1426,szprot w oleju,356,27.8,32.1,0
1427,szprot w oleju z groszkiem,330,17.7,31.2,2.1
1428,szprot w sosie pomidorowym,176,14,10.2,6.7
1429,szprot wêdzony,224,19.7,17.6,0
1430,œledŸ filety w oleju,306,16.6,20.7,0
1431,sledzie zawijane rolmopsy,105,7.8,6.7,3.2
1432,œledŸ marynowany,195,16.7,13,3.5
1433,œledŸ pieczony,212,20.1,14.1,0
1434,œledŸ sma¿ony,250,20.2,18.3,0
1435,œledŸ solony,220,20.3,14.9,0
1436,œledŸ œwie¿y,165,16.4,11.1,0
1437,œledŸ w oleju,301,16.3,26.3,0
1438,œledŸ w pomidorach,180,14.1,13.2,2
1439,œledŸ w sosie pomidorowym,160,14,9.5,4.2
1440,œledŸ w œmietanie,100,5.7,6.4,5.5
1441,œledŸ wêdzony,213,22.1,13.2,0
1442,to³pyga duszona,137,17.7,9.4,0
1443,to³pyga sma¿ona,142,18.4,10.3,0
1444,to³pyga œwie¿a,129,12.3,9.3,0
1445,tr¹biki sfa³dowane gotowane,130,20.1,5.2,0
1446,tuñczyk pieczon,187,30.7,6,0
1447,tuñczyk œwie¿y,145,24.1,4.7,0
1448,tuñczyk w oleju,191,27.3,9.3,0
1449,tuñczyk w oleju pomidorowym z warzywami,140,13.8,2.5,16.1
1450,tuñczyk w wsosie w³asnym,101,24.2,0.5,0
1451,tuñczyk w wodzie,95,20.8,1.3,0
1452,w¹t³usz srebrzysty,76,18.1,0.1,0
1453,wêgorz pieczony,360,18.5,31,0
1454,wêgorz sma¿ony,387,17.1,35,0
1455,wêgorz œwie¿y,282,14.8,24.1,0
1456,wêgorz œwie¿y,333,18.3,28.5,0
1457,witlinek,80,19.8,0.7,0
1458,amoniaczki,356,4.7,8.1,66.2
1459,babka dro¿d¿owa z bakaliami,309,8,13.7,40.8
1460,babka marmurkowa,390,6.5,18.5,43
1461,babka marmurkowa oszczêdna,320,5.5,15.6,40.6
1462,babka piaskowa,370,5.5,22,41.7
1463,babka piaskowa z malinami,324,4.9,17.5,38.9
1464,babka œliwkowo-migda³owa,299,6.3,14.6,37.8
1465,babka z maku i bu³ki,340,8.8,19,35
1466,babka ziemniaczana,130,5.8,4.7,17.7
1467,bajaderka,446,3.1,21.9,46.7
1468,baton 3 Bit,515,6.9,27.5,58.5
1469,baton Bounty Milk,448,4.2,25.2,56.7
1470,baton Knoopers,528,8,32,52
1471,baton Lion,491,7.4,22.7,64.1
1472,baton Mars,451,3.6,18.2,68.9
1473,baton Mars Delight,557,4.5,33.6,58.9
1474,baton Milky Way,448,3.6,16.2,71.8
1475,baton Pawe³ek z adwokatem,471,5.1,21,61.1
1476,baton Pawe³ek z amaretto w ciemnej czekoladzie,460,5.1,20.7,59.9
1477,baton Snickers,497,9.7,28.9,52.6
1478,baton Twix,483,5.3,23.2,64.2
1479,batonik Chocapic,415,7.5,13.5,65.9
1480,batonik Cini Minis,413,6.5,12.8,29
1481,batonik Fitness,382,5.1,7,30.3
1482,batonik Nesquik,418,7.2,7.9,66.5
1483,bezy,420,2.9,11.5,53.8
1484,bezy z kremem,613,3.6,45.9,53.9
1485,biszkopt z m¹ki gryczanej,230,5,5.5,39.8
1486,biszkopt z powid³ami i bit¹ œmietan¹,188,4.4,9.9,21.5
1487,biszkopt z truskawkami i galaretk¹,188,5.9,3.9,32
1488,biszkopt z wiœniami kremem i galaretk¹,245,4.9,11.5,30.8
1489,biszkopty kocie jêzyczki,348,8.8,11.9,23.2
1490,biszkopty okr¹g³e,398,9.9,10.1,73.2
1491,bita œmietana w aerozolu,225,2.6,22.2,2.1
1492,budyñ czekoladowy proszek,368,0,1.9,87.2
1493,budyñ czekoladowy ugotowany na mleku 2%,98,3.4,2.4,15.9
1494,budyñ œmietankowy bez cukru proszek,310,8.3,5.1,52.9
1495,budyñ œmietankowy ugotowany na mleku 2%,97,3.2,1.9,16.9
1496,cha³wa,473,13.1,22.5,60.3
1497,ciasteczka biszkoptowe Petitki Lubisie,388,6.6,16.3,59
1498,ciasteczka delicje szampañskie,328,4.2,11.4,53.1
1499,ciastka eklery z bit¹ œmietan¹,313,5.9,17.6,36.1
1500,ciastka eklery z mas¹ budyniow¹,239,5.9,9.3,34.9
1501,ciastka francuskie ze œliwkami,429,5,27.7,43.9
1502,ciastka goplanki,500,6.4,21,69.1
